address,txid,vin,r,s,sighash_type,z
bc1qhpvxcn42g3ur2zdv2zf743qpmfx4tsug53pmqr,d7b6eb332908059dd35ef615516284adf100bb3a85b092578a67b85c36cdc88e,2,0x498f9e7c8f3481cf9d0dbc65e62e83fadf42befa1ad5ac9380474d8fb1ae74ad,0x5f5619f4f970324549c929ba3765913ac125d69bd89cb2f5d6049899448bca04,0x1,unknown
bc1qhpvxcn42g3ur2zdv2zf743qpmfx4tsug53pmqr,123290031478ec6081328bbe151622155ea2ccfb42b7c6a23b8b64a64fa87ee1,0,0xd25df9ee9c865e9d952b19733bea949f71d992cdd76212921bf5a45735ee71b3,0x9396dd176a562d768950fc9a40512a025a41cfffc3ec38534cef18f86386d23,0x1,unknown
bc1qhpvxcn42g3ur2zdv2zf743qpmfx4tsug53pmqr,123290031478ec6081328bbe151622155ea2ccfb42b7c6a23b8b64a64fa87ee1,1,0x23f59a41b4c02af1ac1fd68dd59ef919a2897c198c4c6c2a18bf065e2d41507c,0x72b780005d10837cc9aec447f28251b4d29b1b9fc88f4a55b54f8f2cc16a0400,0x1,unknown
bc1qhpvxcn42g3ur2zdv2zf743qpmfx4tsug53pmqr,4282d8c88ed1d6d44f42820cb690fc5e0a89c568778bd4b95c1367d2511a8996,0,0xb5c40ee0fa9069460ccca06d506456d6a0136d4c2e41a40a617d71a42596a947,0x6f04f582602abe990a1802a66ec0e7407184b4e6580925fe04832538f441f369,0x1,unknown
bc1qhpvxcn42g3ur2zdv2zf743qpmfx4tsug53pmqr,4282d8c88ed1d6d44f42820cb690fc5e0a89c568778bd4b95c1367d2511a8996,1,0x2b5049b9b638bd78af7da748fb4c4492d058cc438557dccfa5aa94a55c1f38ff,0x7bf6797bce24f26493ba9a571b51e5a09d0e8b5a5ad9e4e985b49a62c74739fa,0x1,unknown
bc1qhpvxcn42g3ur2zdv2zf743qpmfx4tsug53pmqr,a29c8ab7e75bcd79c3370d4730b079999315eba87de73c49326cd61c732ba63d,0,0x29d300657992413eb331fd8031e73bfd77c5790604aad867d1b4bb01cd814743,0x241cfcbef6cb9eb068e0dbec0f813656502ca76905a9967e4c2abcccbb36366b,0x1,unknown
bc1qhpvxcn42g3ur2zdv2zf743qpmfx4tsug53pmqr,a29c8ab7e75bcd79c3370d4730b079999315eba87de73c49326cd61c732ba63d,1,0xa38836f791f58320c75233efc14e73f840b6872d717762ea50556bd01ec71d24,0x40fc0d602bc5a87b60da1f0c40aee2aed280389899d30c00af50abe4bf3ac7ba,0x1,unknown
bc1qhpvxcn42g3ur2zdv2zf743qpmfx4tsug53pmqr,3ebf7e5216edac4d85bba2636ec8b5c19af890c4ccf5905e39f55a5fd36e5df7,0,0xb224a68891b008850939acb90b2ab359e01a98b76745a69b9e6711cd20fa2bb5,0x56332a8175d6d4da9181407baf8d7db908f5c31e63ddfbd1424c7558683eb94c,0x1,unknown
bc1qhpvxcn42g3ur2zdv2zf743qpmfx4tsug53pmqr,e9ad9ff93d1bc2b8e48e980471b7e487f9e72b6366c96b033934f6b73294d472,0,0x9d28b29798e5900c3a9ac82596be67f6c21a5ada10ec36aae26c3de928edf23e,0x272a803effb544220d22e822d14d3194d42beaaa45399d1e4bb70feb97fd9161,0x1,unknown
bc1qhpvxcn42g3ur2zdv2zf743qpmfx4tsug53pmqr,bf6da7549c8a82d4048a139fce8c56e375fe4a82d46887ddbbd3da0222590a34,0,0xeef32611480bfe0ec854e23fbffec5b44ad9d45a38986e16f75ca83483156990,0x1c697fa5b44e21546ae16f2377c4dc918cac45a0207d4df050ae641074a5293b,0x1,unknown
